"timestamp_pretty";"timestamp";"msgid";"targetType";"mmsi";"lat";"long";"posacc";"sog";"cog";"shipType";"dimBow";"draught";"dimPort";"dimStarboard";"dimStern";"month";"week";"imo";"country";"name";"callsign"
"01/04/2018 10:38:51";1522579131000;3;"A";205689000;59.17388;17.6645;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 02:06:31";1522548391000;3;"A";205489000;55.097866;14.6876335;1;0;283;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 03:14:03";1522552443000;1;"A";205723000;55.246235;13.429617;1;9.4;271;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 02:37:13";1522550233000;1;"A";205723000;55.24338;13.598605;1;9.5;270.6;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 02:25:46";1522549546000;1;"A";205366000;54.5248;11.472935;1;16.4;297.7;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 02:40:55";1522550455000;3;"A";205689000;59.1739;17.664566;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 06:04:43";1522562683000;1;"A";205723000;55.32555;12.693987;1;8.9;348.3;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 06:22:55";1522563775000;3;"A";205689000;59.17388;17.664516;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 01:30:32";1522546232000;3;"A";205489000;55.097866;14.687533;1;0;329;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 01:37:47";1522546667000;1;"A";205366000;54.42378;11.79996;1;16.4;306.8;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 03:46:53";1522554413000;3;"A";205689000;59.17388;17.66455;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 07:58:07";1522569487000;1;"A";205366000;54.509342;10.29345;1;0.2;174.9;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 07:36:15";1522568175000;1;"A";205723000;55.560673;12.705298;1;9.2;354.6;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 07:01:55";1522566115000;3;"A";205689000;59.173866;17.664583;1;0;340;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 02:43:46";1522550626000;1;"A";205366000;54.56266;11.348755;1;16.2;297.8;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 04:24:53";1522556693000;1;"A";205723000;55.253567;13.10113;1;9.6;271.5;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 01:27:44";1522546064000;1;"A";205723000;55.23937;13.910095;1;8.9;271.2;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 00:17:16";1522541836000;3;"A";205723000;55.231735;14.215319;1;8.6;281.6;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 02:49:48";1522550988000;1;"A";205366000;54.57379;11.306383;1;16.3;293.4;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 06:37:54";1522564674000;3;"A";205689000;59.1739;17.66455;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 05:55:55";1522562155000;3;"A";205689000;59.17388;17.664516;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 06:16:56";1522563416000;3;"A";205689000;59.173866;17.664534;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 02:01:47";1522548107000;1;"A";205366000;54.474564;11.63773;1;16.1;298.6;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 05:04:56";1522559096000;3;"A";205689000;59.173866;17.66455;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 02:12:32";1522548752000;3;"A";205489000;55.097885;14.6876335;1;0;283;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 04:30:31";1522557031000;3;"A";205489000;55.09785;14.687734;1;0;340;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 06:54:32";1522565672000;3;"A";205489000;55.097935;14.6877;1;0;179;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 09:06:32";1522573592000;3;"A";205489000;55.097885;14.687616;1;0;255;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 00:54:53";1522544093000;3;"A";205689000;59.173916;17.6645;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 03:52:55";1522554775000;3;"A";205689000;59.17388;17.664534;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 03:01:23";1522551683000;1;"A";205723000;55.244736;13.487351;1;9.5;273.2;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 07:15:49";1522566949000;1;"A";205366000;54.511505;10.30485;1;0.8;241.3;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 03:19:53";1522552793000;1;"A";205366000;54.5981;11.078656;1;16.3;263.3;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 09:36:36";1522575396000;1;"A";205723000;55.900364;12.756594;1;10.7;345.5;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 10:25:52";1522578352000;3;"A";205723000;55.968666;12.724733;1;0.1;160;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
